"通用拼音調值標記法","通用拼音調號標記法","教育部客語拼音"
a24,á,aˊ
a24,á,aˊ
a24,á,aˊ
a11,a,aˇ
a31,à,aˋ
a55,a,a
a55,a,a
ai24,ái,aiˊ
ai24,ái,aiˊ
ai24,ái,aiˊ
ai31,ài,aiˋ
ai55,ai,ai
ak2,ạk,agˋ
am24,ám,amˊ
am31,àm,amˋ
am31,àm,amˋ
am55,am,am
am55,am,am
an31,àn,
an31,àn,anˋ
an31,àn,anˋ
an55,an,an
ang24,áng,angˊ
ang11,ang,angˇ
ang55,ang,ang
ang55,ang,ang
ap2,ạp,abˋ
au24,áu,auˊ
au24,áu,auˊ
au11,au,auˇ
au31,àu,auˋ
au55,au,au
ba24,bá,baˊ
ba24,bá,baˊ
ba11,ba,baˇ
ba31,bà,baˋ
ba55,ba,ba
ba55,ba,ba
bai24,bái,baiˊ
bai24,bái,baiˊ
bai11,bai,baiˇ
bai31,bài,baiˋ
bai55,bai,bai
bai55,bai,bai
bak2,bạk,bagˋ
bak5,bak,bag
ban24,bán,banˊ
ban31,bàn,banˋ
ban55,ban,ban
bang24,báng,bangˊ
bang11,bang,bangˇ
bang31,bàng,bangˋ
bang31,bàng,bangˋ
bang55,bang,bang
bat2,bạt,badˋ
bat5,bat,bad
bau24,báu,bauˊ
bau55,bau,bau
bba55,bba,bba
bbak5,bbak,bbag
bbe11,bbe,bbeˇ
bben31,bbèn,bbenˋ
bbet5,bbet,bbed
bbi31,bbì,bbiˋ
bbok5,bbok,bbog
be24,bé,beˊ
be11,be,beˇ
be11,be,beˇ
ben24,bén,benˊ
ben55,ben,ben
bet2,bẹt,bed
beu24,béu,beuˊ
beu31,bèu,beuˋ
beu55,beu,beu
bi24,bí,biˊ
bi24,bí,biˊ
bi11,bi,biˇ
bi31,bì,biˋ
bi55,bi,bi
bi55,bi,bi
bai55,bia,bia
biak2,biạk,biagˋ
biak5,biak,biag
biak5,biak,biag
biang24,biáng,biangˊ
biang53,biàng,biangˋ
biang55,biang,biang
bien24,bién,bienˊ
