"通用拼音調值標記法","通用拼音調號標記法","教育部客語拼音"
a53,à,aˋ
a33,ā,a+
a24,á,aˊ
a55,a,a
a53,à,aˋ
a33,ā,a+
a11,a,aˇ
ai53,ài,aiˋ
ai24,ái,aiˊ
ngai33,ngāi,ngai+
ái24,ái,aiˊ
ai11,ai,aiˇ
ak5,ak,ag
am53,àm,amˋ
am24,ám,amˊ
am53,àm,amˋ
am55,am,am
am11,am,amˇ
an53,àn,
an55,an,an
an24,án,anˊ
an55,an,an
ang53,àng,angˋ
ang55,ang,ang
ang11,ang,angˇ
ang55,ang,ang
ap5,ap,ab
an53,àu,auˋ
au24,áu,auˊ
au55,au,au
au24,áu,auˊ
au11,au,auˇ
ba53,bà,baˋ
ba55,ba,ba
ba55,ba,ba
ba24,bá,baˊ
ba55,ba,ba
ba11,ba,ba
bai53,bài,baiˋ
bai55,bai,bai
bai55,bai,bai
bai24,bái,baiˊ
bai11,bai,baiˇ
boi11,boi,boiˇ
bak5,bak,bag
bak2,bạk,bagˋ
ban53,bàn,banˋ
ban24,bán,banˊ
ban11,ban,banˇ
bang53,bàng,bangˋ
bang55,bang,bang
bang53,bàng,bangˋ
bang24,bàng,bangˋ
bang11,bang,bangˇ
bat5,bat,bad
bat2,bạt,badˋ
bau53,bàu,bauˋ
bau11,bau,bauˇ
bba55,bba,bba
bbak5,bbak,bbag
bbe33,bbē,bbe+
bben53,bbèn,bbenˋ
bbet5,bbet,bbed
bbi53,bbì,bbiˋ
bbok5,bbok,bbog
be53,bè,beˋ
be55,be,be
boi55,boi,boi
ben53,bèn,benˋ
ben11,ben,ben
bet5,bet,bed
biau53,biàu,biauˋ
biau24,biáu,biauˊ
biau11,biau,biauˇ
bi53,bì,biˋ
bui53,bùi,buiˋ
bi55,bi,bi
bi24,bí,biˊ
bi11,bi,biˇ
bui11,bui,buiˇ
bia11,bia,biaˇ
biak5,biak,biag
biak2,biạk,biagˋ
biak5,biak,biag
biang53,biàng,biangˋ
biang24,biáng,biangˊ
biang11,biang,biangˇ
bien53,bièn,bienˋ
bien24,bién,bienˊ
bien11,bien,bienˇ
biet2,biẹt,biedˋ
bin53,bìn,binˋ
bin24,bín,binˊ
bin11,bin,binˇ
biong53,biòng,biongˋ
biong11,biong,biongˇ
bip5,bip,bib
bit5,bit,bid
bit2,bịt,bidˋ
biu53,biù,biuˋ
biu55,biu,biu
bo11,bo,boˇ
bo53,bò,boˋ
bo55,bo,bo
bo24,bó,boˊ
bo11,bo,boˇ
boi53,bòi,boiˋ
boi24,bói,boiˊ
boi11,boi,boiˇ
bok5,bok,bog
bok2,bọk,bogˋ
bong53,bòng,bongˋ
bong11,bong,bongˇ
bong24,bóng,bongˊ
bong11,bong,bongˇ
bot5,bot,bod
bu53,bù,buˋ
bu55,bu,bu
bu24,bú,buˊ
bu11,bu,buˇ
buk5,buk,bug
bun53,bùn,bunˋ
bun24,bún,bunˊ
bun11,bun,bunˇ
bung55,bung,bung
bung24,búng,bungˊ
but5,but,bud
but2,bụt,budˋ
ca53,cà,caˋ
cha53,chà,chaˋ
ca55,ca,ca
cha24,chá,chaˊ
ca11,ca,caˇ
cha11,cha,chaˇ
cai53,cài,caiˋ
cai55,cai,cai
cai24,cái,caiˊ
cai33,cāi,cai+
cai11,cai,caiˇ
cak5,cak,cag
chak5,chak,chag
cak2,cạk,cagˋ
cam53,càm,camˋ
cham53,chàm,chamˋ
cam55,cam,cam
cham55,cham,cham
cam24,cám,camˊ
cham24,chám,chamˊ
cam33,cām,cam+
cam11,cam,camˇ
cham11,cham,chamˇ
can55,can,can
chan55,chan,chan
can53,càn,canˋ
can24,cán,canˊ
chan24,chán,chanˊ
can11,can,canˇ
chan11,chan,chanˇ
cang53,càng,cangˋ
cang55,cang,cang
chang55,chang,chang
cang33,cāng,cang+
cang11,cang,cangˇ
chang33,chāng,chang+
cap5,cap,cab
cap2,cạp,cabˋ
chap2,chạp,chabˋ
cat5,cat,cad
chat5,chat,chad
cat2,cạt,cad
chat2,chạt,chadˋ
cau53,càu,cauˋ
cau55,cau,cau
cau24,cáu,cauˊ
cau11,cau,cauˇ
chau11,chau,chauˇ
ce53,cè,ceˋ
che53,chè,cheˋ
ce55,ce,ce
ce24,cé,ceˊ
che24,ché,cheˊ
ce11,ce,ceˇ
ce55,ce,ce
che11,che,cheˇ
cem53,cèm,cemˋ
cem55,cem,cem
cen53,cèn,cenˋ
cen55,cen,cen
cen11,cen,cenˇ
cep5,cep,ceb
cet5,cet,ced
cet2,cẹt,cedˋ
ceu53,cèu,ceuˋ
chau53,chàu,chauˋ
chau55,chau,chau
ciau55,ciau,ciau
chau24,cháu,chauˊ
ceu11,ceu,ceuˇ
chau11,chau,chauˇ
ciau33,ciāu,ciau+
ciau11,ciau,ciauˇ
seu11,seu,seuˇ
ci53,cì,ciˋ
si53,sì,siˋ
ci55,ci,ci
ci24,cí,ciˊ
ci33,cī,ci+
ci11,ci,ciˇ
zi11,zi,ziˇ
cia11,cia,ciaˇ
cia55,cia,cia
cia24,ciá,ciaˊ
cia33,ciā,cia+
ciak5,ciak,ciag
ciak2,ciạk,ciagˋ
ciam53,ciàm,ciamˋ
ciam55,ciam,ciam
ciam24,ciám,ciamˊ
ciam33,ciām,ciam+
ciang53,ciàng,ciangˋ
ciang55,ciang,ciang
ciang53,ciàng,ciangˋ
ciang24,ciáng,ciangˊ
ciang33,ciāng,ciang+
ciap5,ciap,ciab
ciap2,ciạp,ciabˋ
ciau53,ciàu,ciauˋ
ciau55,ciau,ciau
ciau24,ciáu,ciauˊ
cien53,cièn,cienˋ
can55,can,can
cien55,cien,cien
cien24,cién,cienˊ
cien33,ciēn,cien+
cien11,cien,cienˇ
ciet5,ciet,cied
ciet2,ciẹt,ciedˋ
chi53,chì,chiˋ
cii53,cìì,ciiˋ
chi55,chi,chi
cii55,cii,cii
shi55,shi,shi
sii33,sīi,sii+
chi24,chí,chiˊ
cii24,cíi,ciiˊ
chi33,chī,chi+
chi11,chi,chiˇ
chi33,cī,ci+
cii33,cīi,cii+
cii11,cii,ciiˇ
sii11,sii,siiˇ
chim53,chìm,chimˋ
chim55,chim,chim
chim24,chím,chimˊ
chim33,chīm,chim+
chim11,chim,chimˇ
chin53,chìn,chinˋ
chin55,chin,chin
chin24,chín,chinˊ
ciin33,chīn,chin+
chip2,chịp,chibˋ
chit5,chit,chid
chit2,chịt,chidˋ
cim53,cìm,cimˋ
cim55,cim,cim
cim24,cím,cimˊ
cim11,cim,cimˇ
cin53,cìn,cinˋ
cin55,cin,cin
cin24,cín,cinˊ
cin33,cīn,cin+
cin11,cin,cinˇ
cio53,ciò,cioˋ
cio11,cio,cioˇ
ciok5,ciok,ciog
cion53,ciòn,cionˋ
cion55,cion,cion
cion24,ción,cionˊ
cion33,ciōn,cion+
ciong53,ciòng,ciongˋ
ciong55,ciong,ciong
ciong24,cióng,ciongˊ
ciong33,ciōng,ciong+
ciong11,ciong,ciong
cip2,cịp,cibˋ
chit5,chit,chid
cit5,cit,cid
cit2,cịt,cidˋ
ciu53,ciù,ciuˋ
ciu55,ciu,ciu
chiu33,chiū,chiu+
ciu33,ciū,ciu+
ciuk5,ciuk,ciug
chung55,chung,chung
ciung55,ciung,ciung
ciung33,ciūng,ciung+
cho53,chò,choˋ
co53,cò,coˋ
cho55,cho,cho
co55,co,co
co24,có,coˊ
cho33,chō,cho+
co33,cō,co+
choi53,chòi,choiˋ
chui53,chùi,chuiˋ
coi53,còi,coiˋ
